fiscal_year,fiscal_year_start,triage_level,ctas_urgency_score,visit_disposition,main_problem,admission_status,ed_visits,median_los_minutes,median_los_hours,admission_flag,is_suppressed
2016-2017,2016,Unknown,3,Death,Acute Myocardial Infarction,Not Admitted,7,42.0,0.7,0,0
2016-2017,2016,CTAS III - Urgent,3,Death,Asthma,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Less urgent,3,Death,Asthma,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Non-urgent,3,Death,Asthma,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Unknown,3,Death,Asthma,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,CTAS III - Urgent,3,Death,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Less urgent,3,Death,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Non-urgent,3,Death,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Unknown,3,Death,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,CTAS III - Urgent,3,Death,Motor Vehicle Collisions,Not Admitted,0,138.0,2.3,0,1
2016-2017,2016,Less urgent,3,Death,Motor Vehicle Collisions,Not Admitted,0,291.0,4.85,0,1
2016-2017,2016,Non-urgent,3,Death,Motor Vehicle Collisions,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Unknown,3,Death,Motor Vehicle Collisions,Not Admitted,0,54.0,0.9,0,1
2016-2017,2016,CTAS III - Urgent,3,Death,Pneumonia,Not Admitted,12,339.0,5.65,0,0
2016-2017,2016,Less urgent,3,Death,Pneumonia,Not Admitted,0,252.0,4.2,0,1
2016-2017,2016,Non-urgent,3,Death,Pneumonia,Not Admitted,0,69.0,1.15,0,1
2016-2017,2016,Unknown,3,Death,Pneumonia,Not Admitted,0,6.0,0.1,0,1
2016-2017,2016,CTAS III - Urgent,3,Death,Trauma,Not Admitted,21,360.0,6.0,0,0
2016-2017,2016,Less urgent,3,Death,Trauma,Not Admitted,12,147.0,2.45,0,0
2016-2017,2016,Non-urgent,3,Death,Trauma,Not Admitted,0,105.0,1.75,0,1
2016-2017,2016,Unknown,3,Death,Trauma,Not Admitted,6,42.0,0.7,0,0
2016-2017,2016,CTAS III - Urgent,3,Death,Unintentional Falls,Not Admitted,17,396.0,6.6,0,0
2016-2017,2016,Less urgent,3,Death,Unintentional Falls,Not Admitted,0,150.0,2.5,0,1
2016-2017,2016,Non-urgent,3,Death,Unintentional Falls,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Unknown,3,Death,Unintentional Falls,Not Admitted,0,264.0,4.4,0,1
2016-2017,2016,CTAS III - Urgent,3,Discharged Home,Acute Myocardial Infarction,Not Admitted,245,420.0,7.0,0,0
2016-2017,2016,Less urgent,3,Discharged Home,Acute Myocardial Infarction,Not Admitted,50,264.0,4.4,0,0
2016-2017,2016,Non-urgent,3,Discharged Home,Acute Myocardial Infarction,Not Admitted,11,156.0,2.6,0,0
2016-2017,2016,Unknown,3,Discharged Home,Acute Myocardial Infarction,Not Admitted,6,444.0,7.4,0,0
2016-2017,2016,CTAS III - Urgent,3,Discharged Home,Asthma,Not Admitted,27263,162.0,2.7,0,0
2016-2017,2016,Less urgent,3,Discharged Home,Asthma,Not Admitted,11937,114.0,1.9,0,0
2016-2017,2016,Non-urgent,3,Discharged Home,Asthma,Not Admitted,1348,84.0,1.4,0,0
2016-2017,2016,Unknown,3,Discharged Home,Asthma,Not Admitted,312,78.0,1.3,0,0
2016-2017,2016,CTAS III - Urgent,3,Discharged Home,Influenzal Pneumonia,Not Admitted,166,192.0,3.2,0,0
2016-2017,2016,Less urgent,3,Discharged Home,Influenzal Pneumonia,Not Admitted,81,111.0,1.85,0,0
2016-2017,2016,Non-urgent,3,Discharged Home,Influenzal Pneumonia,Not Admitted,9,90.0,1.5,0,0
2016-2017,2016,Unknown,3,Discharged Home,Influenzal Pneumonia,Not Admitted,0,270.0,4.5,0,1
2016-2017,2016,CTAS III - Urgent,3,Discharged Home,Motor Vehicle Collisions,Not Admitted,70656,150.0,2.5,0,0
2016-2017,2016,Less urgent,3,Discharged Home,Motor Vehicle Collisions,Not Admitted,45924,114.0,1.9,0,0
2016-2017,2016,Non-urgent,3,Discharged Home,Motor Vehicle Collisions,Not Admitted,2914,102.0,1.7,0,0
2016-2017,2016,Unknown,3,Discharged Home,Motor Vehicle Collisions,Not Admitted,821,90.0,1.5,0,0
2016-2017,2016,CTAS III - Urgent,3,Discharged Home,Pneumonia,Not Admitted,43849,180.0,3.0,0,0
2016-2017,2016,Less urgent,3,Discharged Home,Pneumonia,Not Admitted,21198,126.0,2.1,0,0
2016-2017,2016,Non-urgent,3,Discharged Home,Pneumonia,Not Admitted,1695,114.0,1.9,0,0
2016-2017,2016,Unknown,3,Discharged Home,Pneumonia,Not Admitted,392,108.0,1.8,0,0
2016-2017,2016,CTAS III - Urgent,3,Discharged Home,Trauma,Not Admitted,687984,138.0,2.3,0,0
2016-2017,2016,Less urgent,3,Discharged Home,Trauma,Not Admitted,880842,108.0,1.8,0,0
2016-2017,2016,Non-urgent,3,Discharged Home,Trauma,Not Admitted,77172,90.0,1.5,0,0
2016-2017,2016,Unknown,3,Discharged Home,Trauma,Not Admitted,10337,72.0,1.2,0,0
2016-2017,2016,CTAS III - Urgent,3,Discharged Home,Unintentional Falls,Not Admitted,256035,156.0,2.6,0,0
2016-2017,2016,Less urgent,3,Discharged Home,Unintentional Falls,Not Admitted,250805,120.0,2.0,0,0
2016-2017,2016,Non-urgent,3,Discharged Home,Unintentional Falls,Not Admitted,14537,108.0,1.8,0,0
2016-2017,2016,Unknown,3,Discharged Home,Unintentional Falls,Not Admitted,2572,78.0,1.3,0,0
2016-2017,2016,CTAS III - Urgent,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,0,138.0,2.3,0,1
2016-2017,2016,Less urgent,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Non-urgent,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Unknown,3,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,CTAS III - Urgent,3,Intra-Facility Transfer,Asthma,Not Admitted,29,204.0,3.4,0,0
2016-2017,2016,Less urgent,3,Intra-Facility Transfer,Asthma,Not Admitted,0,18.0,0.3,0,1
2016-2017,2016,Non-urgent,3,Intra-Facility Transfer,Asthma,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Unknown,3,Intra-Facility Transfer,Asthma,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,CTAS III - Urgent,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Less urgent,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Non-urgent,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Unknown,3,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,CTAS III - Urgent,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,119,201.0,3.35,0,0
2016-2017,2016,Less urgent,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,62,210.0,3.5,0,0
2016-2017,2016,Non-urgent,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,6,81.0,1.35,0,0
2016-2017,2016,Unknown,3,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,0,252.0,4.2,0,1
2016-2017,2016,CTAS III - Urgent,3,Intra-Facility Transfer,Pneumonia,Not Admitted,63,240.0,4.0,0,0
2016-2017,2016,Less urgent,3,Intra-Facility Transfer,Pneumonia,Not Admitted,5,252.0,4.2,0,0
2016-2017,2016,Non-urgent,3,Intra-Facility Transfer,Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Unknown,3,Intra-Facility Transfer,Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,CTAS III - Urgent,3,Intra-Facility Transfer,Trauma,Not Admitted,2388,198.0,3.3,0,0
2016-2017,2016,Less urgent,3,Intra-Facility Transfer,Trauma,Not Admitted,1027,156.0,2.6,0,0
2016-2017,2016,Non-urgent,3,Intra-Facility Transfer,Trauma,Not Admitted,178,120.0,2.0,0,0
2016-2017,2016,Unknown,3,Intra-Facility Transfer,Trauma,Not Admitted,16,90.0,1.5,0,0
2016-2017,2016,CTAS III - Urgent,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,652,210.0,3.5,0,0
2016-2017,2016,Less urgent,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,316,168.0,2.8,0,0
2016-2017,2016,Non-urgent,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,43,120.0,2.0,0,0
2016-2017,2016,Unknown,3,Intra-Facility Transfer,Unintentional Falls,Not Admitted,8,120.0,2.0,0,0
2016-2017,2016,CTAS III - Urgent,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,41,288.0,4.8,0,0
2016-2017,2016,Less urgent,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,126.0,2.1,0,1
2016-2017,2016,Non-urgent,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,378.0,6.3,0,1
2016-2017,2016,Unknown,3,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,252.0,4.2,0,1
2016-2017,2016,CTAS III - Urgent,3,Not Seen Or Left,Asthma,Not Admitted,275,141.0,2.35,0,0
2016-2017,2016,Less urgent,3,Not Seen Or Left,Asthma,Not Admitted,97,123.0,2.05,0,0
2016-2017,2016,Non-urgent,3,Not Seen Or Left,Asthma,Not Admitted,19,120.0,2.0,0,0
2016-2017,2016,Unknown,3,Not Seen Or Left,Asthma,Not Admitted,7,84.0,1.4,0,0
2016-2017,2016,CTAS III - Urgent,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Less urgent,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,90.0,1.5,0,1
2016-2017,2016,Non-urgent,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Unknown,3,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,CTAS III - Urgent,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,1887,138.0,2.3,0,0
2016-2017,2016,Less urgent,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,1282,120.0,2.0,0,0
2016-2017,2016,Non-urgent,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,110,96.0,1.6,0,0
2016-2017,2016,Unknown,3,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,37,75.0,1.25,0,0
2016-2017,2016,CTAS III - Urgent,3,Not Seen Or Left,Pneumonia,Not Admitted,186,240.0,4.0,0,0
2016-2017,2016,Less urgent,3,Not Seen Or Left,Pneumonia,Not Admitted,64,144.0,2.4,0,0
2016-2017,2016,Non-urgent,3,Not Seen Or Left,Pneumonia,Not Admitted,18,150.0,2.5,0,0
2016-2017,2016,Unknown,3,Not Seen Or Left,Pneumonia,Not Admitted,10,30.0,0.5,0,0
2016-2017,2016,CTAS III - Urgent,3,Not Seen Or Left,Trauma,Not Admitted,20318,132.0,2.2,0,0
2016-2017,2016,Less urgent,3,Not Seen Or Left,Trauma,Not Admitted,26582,114.0,1.9,0,0
2016-2017,2016,Non-urgent,3,Not Seen Or Left,Trauma,Not Admitted,3557,96.0,1.6,0,0
2016-2017,2016,Unknown,3,Not Seen Or Left,Trauma,Not Admitted,1080,42.0,0.7,0,0
2016-2017,2016,CTAS III - Urgent,3,Not Seen Or Left,Unintentional Falls,Not Admitted,5729,138.0,2.3,0,0
2016-2017,2016,Less urgent,3,Not Seen Or Left,Unintentional Falls,Not Admitted,5913,120.0,2.0,0,0
2016-2017,2016,Non-urgent,3,Not Seen Or Left,Unintentional Falls,Not Admitted,486,108.0,1.8,0,0
2016-2017,2016,Unknown,3,Not Seen Or Left,Unintentional Falls,Not Admitted,121,48.0,0.8,0,0
2016-2017,2016,CTAS III - Urgent,3,Transferred,Acute Myocardial Infarction,Not Admitted,1006,216.0,3.6,0,0
2016-2017,2016,Less urgent,3,Transferred,Acute Myocardial Infarction,Not Admitted,115,312.0,5.2,0,0
2016-2017,2016,Non-urgent,3,Transferred,Acute Myocardial Infarction,Not Admitted,17,246.0,4.1,0,0
2016-2017,2016,Unknown,3,Transferred,Acute Myocardial Infarction,Not Admitted,62,150.0,2.5,0,0
2016-2017,2016,CTAS III - Urgent,3,Transferred,Asthma,Not Admitted,150,318.0,5.3,0,0
2016-2017,2016,Less urgent,3,Transferred,Asthma,Not Admitted,17,282.0,4.7,0,0
2016-2017,2016,Non-urgent,3,Transferred,Asthma,Not Admitted,0,183.0,3.05,0,1
2016-2017,2016,Unknown,3,Transferred,Asthma,Not Admitted,0,363.0,6.05,0,1
2016-2017,2016,CTAS III - Urgent,3,Transferred,Influenzal Pneumonia,Not Admitted,6,363.0,6.05,0,0
2016-2017,2016,Less urgent,3,Transferred,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Non-urgent,3,Transferred,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Unknown,3,Transferred,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,CTAS III - Urgent,3,Transferred,Motor Vehicle Collisions,Not Admitted,1144,222.0,3.7,0,0
2016-2017,2016,Less urgent,3,Transferred,Motor Vehicle Collisions,Not Admitted,229,204.0,3.4,0,0
2016-2017,2016,Non-urgent,3,Transferred,Motor Vehicle Collisions,Not Admitted,15,156.0,2.6,0,0
2016-2017,2016,Unknown,3,Transferred,Motor Vehicle Collisions,Not Admitted,95,156.0,2.6,0,0
2016-2017,2016,CTAS III - Urgent,3,Transferred,Pneumonia,Not Admitted,856,318.0,5.3,0,0
2016-2017,2016,Less urgent,3,Transferred,Pneumonia,Not Admitted,120,306.0,5.1,0,0
2016-2017,2016,Non-urgent,3,Transferred,Pneumonia,Not Admitted,9,372.0,6.2,0,0
2016-2017,2016,Unknown,3,Transferred,Pneumonia,Not Admitted,12,207.0,3.45,0,0
2016-2017,2016,CTAS III - Urgent,3,Transferred,Trauma,Not Admitted,10321,234.0,3.9,0,0
2016-2017,2016,Less urgent,3,Transferred,Trauma,Not Admitted,2840,210.0,3.5,0,0
2016-2017,2016,Non-urgent,3,Transferred,Trauma,Not Admitted,239,174.0,2.9,0,0
2016-2017,2016,Unknown,3,Transferred,Trauma,Not Admitted,284,162.0,2.7,0,0
2016-2017,2016,CTAS III - Urgent,3,Transferred,Unintentional Falls,Not Admitted,6088,264.0,4.4,0,0
2016-2017,2016,Less urgent,3,Transferred,Unintentional Falls,Not Admitted,1440,240.0,4.0,0,0
2016-2017,2016,Non-urgent,3,Transferred,Unintentional Falls,Not Admitted,88,267.0,4.45,0,0
2016-2017,2016,Unknown,3,Transferred,Unintentional Falls,Not Admitted,83,195.0,3.25,0,0
2016-2017,2016,CTAS III - Urgent,3,Unknown,Acute Myocardial Infarction,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Less urgent,3,Unknown,Acute Myocardial Infarction,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Non-urgent,3,Unknown,Acute Myocardial Infarction,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Unknown,3,Unknown,Acute Myocardial Infarction,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,CTAS III - Urgent,3,Unknown,Asthma,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Less urgent,3,Unknown,Asthma,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Non-urgent,3,Unknown,Asthma,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Unknown,3,Unknown,Asthma,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,CTAS III - Urgent,3,Unknown,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Less urgent,3,Unknown,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Non-urgent,3,Unknown,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Unknown,3,Unknown,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,CTAS III - Urgent,3,Unknown,Motor Vehicle Collisions,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Less urgent,3,Unknown,Motor Vehicle Collisions,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Non-urgent,3,Unknown,Motor Vehicle Collisions,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Unknown,3,Unknown,Motor Vehicle Collisions,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,CTAS III - Urgent,3,Unknown,Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Less urgent,3,Unknown,Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Non-urgent,3,Unknown,Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Unknown,3,Unknown,Pneumonia,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,CTAS III - Urgent,3,Unknown,Trauma,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Less urgent,3,Unknown,Trauma,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Non-urgent,3,Unknown,Trauma,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Unknown,3,Unknown,Trauma,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,CTAS III - Urgent,3,Unknown,Unintentional Falls,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Less urgent,3,Unknown,Unintentional Falls,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Non-urgent,3,Unknown,Unintentional Falls,Not Admitted,0,0.0,0.0,0,1
2016-2017,2016,Unknown,3,Unknown,Unintentional Falls,Not Admitted,0,0.0,0.0,0,1
2015-2016,2015,CTAS I - Resuscitation,1,Admitted,Acute Myocardial Infarction,Admitted,1256,84.0,1.4,1,0
2015-2016,2015,CTAS I - Resuscitation,1,Admitted,Asthma,Admitted,539,408.0,6.8,1,0
2015-2016,2015,CTAS I - Resuscitation,1,Admitted,Influenzal Pneumonia,Admitted,5,330.0,5.5,1,0
2015-2016,2015,CTAS I - Resuscitation,1,Admitted,Motor Vehicle Collisions,Admitted,2630,276.0,4.6,1,0
2015-2016,2015,CTAS I - Resuscitation,1,Admitted,Pneumonia,Admitted,1522,516.0,8.6,1,0
2015-2016,2015,CTAS I - Resuscitation,1,Admitted,Trauma,Admitted,6542,270.0,4.5,1,0
2015-2016,2015,CTAS I - Resuscitation,1,Admitted,Unintentional Falls,Admitted,1681,324.0,5.4,1,0
2015-2016,2015,CTAS I - Resuscitation,1,Death,Acute Myocardial Infarction,Not Admitted,367,36.0,0.6,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Death,Asthma,Not Admitted,0,90.0,1.5,0,1
2015-2016,2015,CTAS I - Resuscitation,1,Death,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2015-2016,2015,CTAS I - Resuscitation,1,Death,Motor Vehicle Collisions,Not Admitted,190,36.0,0.6,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Death,Pneumonia,Not Admitted,38,183.0,3.05,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Death,Trauma,Not Admitted,561,42.0,0.7,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Death,Unintentional Falls,Not Admitted,91,132.0,2.2,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Discharged Home,Acute Myocardial Infarction,Not Admitted,27,78.0,1.3,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Discharged Home,Asthma,Not Admitted,383,228.0,3.8,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Discharged Home,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2015-2016,2015,CTAS I - Resuscitation,1,Discharged Home,Motor Vehicle Collisions,Not Admitted,713,276.0,4.6,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Discharged Home,Pneumonia,Not Admitted,213,225.0,3.75,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Discharged Home,Trauma,Not Admitted,3677,252.0,4.2,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Discharged Home,Unintentional Falls,Not Admitted,596,270.0,4.5,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,14,48.0,0.8,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Intra-Facility Transfer,Asthma,Not Admitted,0,207.0,3.45,0,1
2015-2016,2015,CTAS I - Resuscitation,1,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2015-2016,2015,CTAS I - Resuscitation,1,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,10,309.0,5.15,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Intra-Facility Transfer,Pneumonia,Not Admitted,0,228.0,3.8,0,1
2015-2016,2015,CTAS I - Resuscitation,1,Intra-Facility Transfer,Trauma,Not Admitted,65,210.0,3.5,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Intra-Facility Transfer,Unintentional Falls,Not Admitted,7,384.0,6.4,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,0,132.0,2.2,0,1
2015-2016,2015,CTAS I - Resuscitation,1,Not Seen Or Left,Asthma,Not Admitted,10,168.0,2.8,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Not Seen Or Left,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2015-2016,2015,CTAS I - Resuscitation,1,Not Seen Or Left,Motor Vehicle Collisions,Not Admitted,11,234.0,3.9,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Not Seen Or Left,Pneumonia,Not Admitted,0,174.0,2.9,0,1
2015-2016,2015,CTAS I - Resuscitation,1,Not Seen Or Left,Trauma,Not Admitted,84,192.0,3.2,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Not Seen Or Left,Unintentional Falls,Not Admitted,10,270.0,4.5,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Transferred,Acute Myocardial Infarction,Not Admitted,711,66.0,1.1,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Transferred,Asthma,Not Admitted,65,186.0,3.1,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Transferred,Influenzal Pneumonia,Not Admitted,0,666.0,11.1,0,1
2015-2016,2015,CTAS I - Resuscitation,1,Transferred,Motor Vehicle Collisions,Not Admitted,583,114.0,1.9,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Transferred,Pneumonia,Not Admitted,96,237.0,3.95,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Transferred,Trauma,Not Admitted,1513,138.0,2.3,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Transferred,Unintentional Falls,Not Admitted,299,180.0,3.0,0,0
2015-2016,2015,CTAS I - Resuscitation,1,Unknown,Acute Myocardial Infarction,Not Admitted,0,0.0,0.0,0,1
2015-2016,2015,CTAS I - Resuscitation,1,Unknown,Asthma,Not Admitted,0,0.0,0.0,0,1
2015-2016,2015,CTAS I - Resuscitation,1,Unknown,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2015-2016,2015,CTAS I - Resuscitation,1,Unknown,Motor Vehicle Collisions,Not Admitted,0,0.0,0.0,0,1
2015-2016,2015,CTAS I - Resuscitation,1,Unknown,Pneumonia,Not Admitted,0,0.0,0.0,0,1
2015-2016,2015,CTAS I - Resuscitation,1,Unknown,Trauma,Not Admitted,0,0.0,0.0,0,1
2015-2016,2015,CTAS I - Resuscitation,1,Unknown,Unintentional Falls,Not Admitted,0,0.0,0.0,0,1
2015-2016,2015,CTAS II - Emergent,2,Admitted,Acute Myocardial Infarction,Admitted,11965,486.0,8.1,1,0
2015-2016,2015,CTAS II - Emergent,2,Admitted,Asthma,Admitted,3553,528.0,8.8,1,0
2015-2016,2015,CTAS II - Emergent,2,Admitted,Influenzal Pneumonia,Admitted,121,564.0,9.4,1,0
2015-2016,2015,CTAS II - Emergent,2,Admitted,Motor Vehicle Collisions,Admitted,4411,420.0,7.0,1,0
2015-2016,2015,CTAS II - Emergent,2,Admitted,Pneumonia,Admitted,17560,678.0,11.3,1,0
2015-2016,2015,CTAS II - Emergent,2,Admitted,Trauma,Admitted,25788,480.0,8.0,1,0
2015-2016,2015,CTAS II - Emergent,2,Admitted,Unintentional Falls,Admitted,14532,528.0,8.8,1,0
2015-2016,2015,CTAS II - Emergent,2,Death,Acute Myocardial Infarction,Not Admitted,87,162.0,2.7,0,0
2015-2016,2015,CTAS II - Emergent,2,Death,Asthma,Not Admitted,0,618.0,10.3,0,1
2015-2016,2015,CTAS II - Emergent,2,Death,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2015-2016,2015,CTAS II - Emergent,2,Death,Motor Vehicle Collisions,Not Admitted,0,0.0,0.0,0,1
2015-2016,2015,CTAS II - Emergent,2,Death,Pneumonia,Not Admitted,43,270.0,4.5,0,0
2015-2016,2015,CTAS II - Emergent,2,Death,Trauma,Not Admitted,40,252.0,4.2,0,0
2015-2016,2015,CTAS II - Emergent,2,Death,Unintentional Falls,Not Admitted,29,264.0,4.4,0,0
2015-2016,2015,CTAS II - Emergent,2,Discharged Home,Acute Myocardial Infarction,Not Admitted,466,306.0,5.1,0,0
2015-2016,2015,CTAS II - Emergent,2,Discharged Home,Asthma,Not Admitted,13829,198.0,3.3,0,0
2015-2016,2015,CTAS II - Emergent,2,Discharged Home,Influenzal Pneumonia,Not Admitted,139,240.0,4.0,0,0
2015-2016,2015,CTAS II - Emergent,2,Discharged Home,Motor Vehicle Collisions,Not Admitted,25635,192.0,3.2,0,0
2015-2016,2015,CTAS II - Emergent,2,Discharged Home,Pneumonia,Not Admitted,15858,222.0,3.7,0,0
2015-2016,2015,CTAS II - Emergent,2,Discharged Home,Trauma,Not Admitted,154665,174.0,2.9,0,0
2015-2016,2015,CTAS II - Emergent,2,Discharged Home,Unintentional Falls,Not Admitted,48166,204.0,3.4,0,0
2015-2016,2015,CTAS II - Emergent,2,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,85,72.0,1.2,0,0
2015-2016,2015,CTAS II - Emergent,2,Intra-Facility Transfer,Asthma,Not Admitted,90,201.0,3.35,0,0
2015-2016,2015,CTAS II - Emergent,2,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2015-2016,2015,CTAS II - Emergent,2,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,103,216.0,3.6,0,0
2015-2016,2015,CTAS II - Emergent,2,Intra-Facility Transfer,Pneumonia,Not Admitted,90,249.0,4.15,0,0
2015-2016,2015,CTAS II - Emergent,2,Intra-Facility Transfer,Trauma,Not Admitted,1165,204.0,3.4,0,0
2015-2016,2015,CTAS II - Emergent,2,Intra-Facility Transfer,Unintentional Falls,Not Admitted,244,228.0,3.8,0,0
2015-2016,2015,CTAS II - Emergent,2,Not Seen Or Left,Acute Myocardial Infarction,Not Admitted,87,330.0,5.5,0,0
2015-2016,2015,CTAS II - Emergent,2,Not Seen Or Left,Asthma,Not Admitted,145,189.0,3.15,0,0
